"","companyname","Freq","ads_per_company"
"3","amazon.com",1919,"1919"
"4","amazon",1060,"1060"
"6","université du luxembourg",960,"960"
"8","funds partnership",832,"832"
"9","austin bright",730,"730"
"12","amazon europe core",518,"518"
"13","austin bright s.àr.l.",497,"497"
"15","kpmg",467,"467"
"16","bnp paribas",454,"454"
"18","fyte",393,"393"
"19","iagora europa",379,"379"
"20","deloitte general services",374,"374"
"21","euraxess",352,"352"
"22","gh intérim",305,"305"
"23","lease",288,"288"
"25","ernst & young global limited",271,"271"
"26","sofitext",262,"262"
"28","eurolux consulting ltd",259,"259"
"29","le grand & associates",255,"255"
"31","deutsche börse",245,"245"
"32","ing",245,"245"
"33","le grand & associates luxembourg",244,"244"
"34","fédération générale de la fonction communale",241,"241"
"35","beruffer anelo lu",229,"229"
"36","ministère de l'éducation nationale, de l'enfance et de la jeunesse",228,"228"
"37","societe generale private banking",223,"223"
"38","dlsi",219,"219"
"39","goodyear",218,"218"
"40","arendt & medernach",212,"212"
"41","huxley",210,"210"
"42","banque internationale à luxembourg",206,"206"
"43","deutsche börse group",201,"201"
"44","greenfield s.à r.l.",199,"199"
"47","bgl bnp paribas",192,"192"
"48","european investment bank",189,"189"
"49","university of luxembourg",188,"188"
"50","pwc",186,"186"
"51","falkerin s.à r.l.",184,"184"
"52","talkwalker",180,"180"
"53","amazon europe",176,"176"
"54","sogeti",175,"175"
"55","centre hospitalier de luxembourg",173,"173"
"56","state street corporation",171,"171"
"57","arcelormittal",167,"167"
"58","jpmorgan chase & co",165,"165"
"59","xb consultants",157,"157"
"60","caceis",152,"152"
"61","docler holding",149,"149"
"62","thorntons",149,"149"
"63","caceis bank luxembourg branch",146,"146"
"64","servior",145,"145"
"65","ajilon",144,"144"
"66","banque de luxembourg",140,"140"
"67","atos",137,"137"
"68","halian",137,"137"
"69","kpmg",135,"135"
"71","iq-eq",132,"132"
"73","xpertize",129,"129"
"74","greenfield",127,"127"
"75","rtl group",125,"125"
"76","ses s.a",123,"123"
"77","cfl",122,"122"
"78","rh-expert",121,"121"
"79","sgbt",121,"121"
"81","lexius search",117,"117"
"83","ses",115,"115"
"84","presto",114,"114"
"87","credit suisse",112,"112"
"88","société générale",111,"111"
"90","sopra steria group",110,"110"
"92","cargolux",109,"109"
"93","tmf group",109,"109"
"94","transman consulting",109,"109"
"95","neofacto",107,"107"
"96","turbolux",107,"107"
"97","gezim intérim",105,"105"
"98","vodafone limited",105,"105"
"99","abakus it-solutions",104,"104"
"100","nomura bank (luxembourg) s.a.",104,"104"
"101","axia (siège)",103,"103"
"102","ekxel it services & financial engineering",103,"103"
"103","rh lab.",102,"102"
"104","alter domus",101,"101"
"105","sofitex",101,"101"
"106","ergon",98,"98"
"107","kingsley & partners",96,"96"
"108","computer task group",95,"95"
"109","edouard franklin",95,"95"
"111","aztec group",93,"93"
"112","ca indosuez wealth (europe)",93,"93"
"113","northern trust corporation",93,"93"
"114","societe generale",93,"93"
"115","sociate generale",90,"90"
"116","together abroad",90,"90"
"117","advitek s.a.",89,"89"
"118","falkerin s. r.l.",89,"89"
"119","fondation lhoft",88,"88"
"120","transman international consulting",88,"88"
"121","deloitte luxembourg",86,"86"
"122","thomas & piron",86,"86"
"123","bdo",84,"84"
"124","dlsi luxembourg",84,"84"
"125","siemens ag",84,"84"
"126","credit agricole consumer finance",83,"83"
"127","grant thornton luxembourg",83,"83"
"128","greenfield luxembourg",83,"83"
"129","dexter international",82,"82"
"130","northern trust",82,"82"
"131","activ solutions",81,"81"
"132","cactus",81,"81"
"133","le forem",81,"81"
"134","luxembourg engineering and application services sa",81,"81"
"135","camo emploi",80,"80"
"136","luxembourg institute of science & technology",80,"80"
"137","pictet group",80,"80"
"138","pwc",80,"80"
"139","state street bank luxembourg s.a.",80,"80"
"140","unisystems s.a.",80,"80"
"141","crh-lux",79,"79"
"142","ferrero",79,"79"
"143","ca indosuez wealth",78,"78"
"145","post group",77,"77"
"146","regus",76,"76"
"147","pwc",75,"75"
"148","nsi",74,"74"
"149","bdo luxembourg",73,"73"
"151","the citco group limited",73,"73"
"152","babysits",71,"71"
"153","clifford chance",71,"71"
"154","dennemeyer",71,"71"
"155","deloitte",70,"70"
"156","iq eq (luxembourg) s.a.",70,"70"
"157","ministère de la mobilité et des travaux publics",70,"70"
"159","arendt",69,"69"
"160","dlsi luxembourg sa",69,"69"
"161","lux airport",69,"69"
"162","sg cib",68,"68"
"163","alter domus",67,"67"
"164","creos luxembourg s.a.",67,"67"
"165","intertrust group",67,"67"
"166","caceis luxembourg",65,"65"
"167","fanuc europe corporation",65,"65"
"169","maison moderne",64,"64"
"170","deutsche börse ag",63,"63"
"172","ctg luxembourg",61,"61"
"173","husky injection molding systems",61,"61"
"174","telindus",61,"61"
"175","ferrero international s.a.",60,"60"
"176","lux-advisory sarl",60,"60"
"177","luxembourg air rescue",59,"59"
"178","st georges international school",59,"59"
"179","arhs",57,"57"
"180","axa luxembourg",57,"57"
"181","husky s.a.",57,"57"
"182","simac professional",57,"57"
"184","consort nt",56,"56"
"185","foyer",56,"56"
"186","hospitaux robert schuman",56,"56"
"187","iee s.a.",56,"56"
"188","kbl european private bankers",55,"55"
"190","if group",54,"54"
"191","dexter international gmbh",53,"53"
"193","dimension data",52,"52"
"194","ey",52,"52"
"195","keyteo",52,"52"
"196","kpmg sa",52,"52"
"197","pro inter",52,"52"
"198","avery dennison",51,"51"
"199","connect people sprl",51,"51"
"201","fundrock management company s.a.",51,"51"
"202","ministère de la digitalisation",51,"51"
"203","crédit agricole",50,"50"
"204","european stability mechanism",50,"50"
"205","gh interim",50,"50"
"206","kbl european private banker",50,"50"
"207","ministère des affaires étrangères et européennes",50,"50"
"208","paypal",50,"50"
"209","taleo consulting",50,"50"
"210","apex luxembourg",49,"49"
"211","cgi inc.",49,"49"
"212","kpmg",49,"49"
"213","laboratoire national de santé",49,"49"
"214","tadaweb",49,"49"
"215","alk",48,"48"
"216","item lux",48,"48"
"217","luxembourg stock exchange",48,"48"
"218","science-community.org network",48,"48"
"219","amundi luxembourg",47,"47"
"220","cargolux airlines international s.a.",47,"47"
"221","iss luxinterim luxembourg",47,"47"
"222","nordea asset management",47,"47"
"223","paul wurth",47,"47"
"224","st george’s international school",47,"47"
"225","ville de luxembourg",47,"47"
"226","accor",46,"46"
"227","advanzia bank s.a.",46,"46"
"228","baloise group",46,"46"
"229","ministère du travail, de l'emploi et de l'économie sociale et solidaire",46,"46"
"230","pictet & cie (europe) s.a.",46,"46"
"231","sgg s.a.",46,"46"
"232","axia interim",45,"45"
"233","banque centrale du luxembourg",45,"45"
"234","ekxel it",45,"45"
"235","lux-advisory sarl",45,"45"
"236","paypal",45,"45"
"237","banque raiffeisen",44,"44"
"238","ca indosuez wealth europe",44,"44"
"239","devoteam",44,"44"
"240","groupe steffen",44,"44"
"242","banque internationale à luxembourg (bil)",43,"43"
"243","post luxembourg",43,"43"
"245","devoteam luxembourg",42,"42"
"246","dng interim",42,"42"
"247","kuehne nagel",42,"42"
"248","la provençale s.à r.l.",42,"42"
"249","luxair s.a. (luxairgroup)",42,"42"
"250","mazars luxembourg sa",42,"42"
"251","arhs group",41,"41"
"252","artec 3d",41,"41"
"253","citco group of companies",41,"41"
"254","commission de surveillance du secteur financier (cssf)",41,"41"
"256","luxembourg",41,"41"
"257","maples group",41,"41"
"258","apex fund services limited",40,"40"
"259","deutsche bank ag",40,"40"
"260","luxtrust",40,"40"
"261","amazon",39,"39"
"262","babysits.org",39,"39"
"263","bnp paribas",39,"39"
"264","ceratizit s.a.",39,"39"
"265","intrasoft international",39,"39"
"266","pm-international ag",39,"39"
"267","europ it services",38,"38"
"268","intesa sanpaolo bank",38,"38"
"269","post group",38,"38"
"270","schroders plc",38,"38"
"271","spuerkeess",38,"38"
"272","steel shed solutions",38,"38"
"274","bny mellon",37,"37"
"275","bny mellon",37,"37"
"276","dupont",37,"37"
"277","istorm",37,"37"
"278","luxtrust s.a.",37,"37"
"279","raiffeisen schweiz",37,"37"
"280","robert half international",37,"37"
"281","sdaac",37,"37"
"282","vanksen",37,"37"
"283","deutsche brse group",36,"36"
"284","ernst & young services s.a.",36,"36"
"285","1",35,"35"
"286","advanzia bank sa",35,"35"
"287","doctena",35,"35"
"288","i.r.i.s. (canon group)",35,"35"
"290","intertrust (luxembourg) sarl",35,"35"
"291","ministère de la justice",35,"35"
"292","rh lab",35,"35"
"293","robert half",35,"35"
"294","sanne",35,"35"
"295","universit du luxembourg",35,"35"
"296","actimage",34,"34"
"297","bâloise assurances",34,"34"
"298","bnp paribas securities services",34,"34"
"299","engel & völkers",34,"34"
"300","global m and a toolkit",34,"34"
"301","lancelot",34,"34"
"302","ministère d'état",34,"34"
"303","orbium",34,"34"
"304","société générale securities services",34,"34"
"305","sogelife",34,"34"
"306","bce broadcasting center europe s.a.",33,"33"
"307","eyesen",33,"33"
"308","infeurope s.a.",33,"33"
"309","john zink hamworthy combustion",33,"33"
"310","kobaltt nord est",33,"33"
"311","ministère des finances",33,"33"
"312","rtlgroup",33,"33"
"313","anthem, inc",32,"32"
"314","docler holding s.à.r.l",32,"32"
"315","east-west united bank",32,"32"
"316","fradeo gmbh",32,"32"
"317","luxlait association agricole",32,"32"
"318","morgan philips group sa",32,"32"
"319","vo consulting lux",32,"32"
"320","accor hotels",31,"31"
"321","cms legal",31,"31"
"323","iee",31,"31"
"324","losch",31,"31"
"325","nsi luxembourg s.a",31,"31"
"326","ocorian",31,"31"
"327","ceratizit luxembourg s.à r.l.",30,"30"
"328","greenfield s. r.l.",30,"30"
"329","guardian-industries",30,"30"
"330","jones lang lasalle, ip, inc",30,"30"
"331","luxembourg institute of health",30,"30"
"332","ministère de l'économie",30,"30"
"333","ministère de la santé",30,"30"
"334","ministère de la sécurité intérieure",30,"30"
"335","privilege services",30,"30"
"337","sodexo luxembourg s.a.",30,"30"
"338","synergie",30,"30"
"340","advitek nv/sa",29,"29"
"341","alter domus participations s.à.r.l.",29,"29"
"342","auchan luxembourg s.a.",29,"29"
"343","banque havilland",29,"29"
"344","banque havilland s.a.",29,"29"
"345","bmc academy",29,"29"
"346","dla piper",29,"29"
"347","fyte luxembourg",29,"29"
"348","groupe galeries lafayette",29,"29"
"349","jones lang lasalle",29,"29"
"350","onepoint",29,"29"
"351","pro inter dudelange",29,"29"
"352","rime it",29,"29"
"353","sgi consulting s.a",29,"29"
"355","vo consulting lux sa",29,"29"
"356","banque degroof petercam luxembourg sa",28,"28"
"358","axa assurances luxembourg",27,"27"
"359","becruiter",27,"27"
"360","create your own career",27,"27"
"361","delphi technologies",27,"27"
"362","dimension data",27,"27"
"363","dz privatbank s.a.",27,"27"
"364","john zink international luxembourg sarl",27,"27"
"365","kuehne + nagel",27,"27"
"366","lease s.a",27,"27"
"367","ministère de la famille, de l'intégration et à la grande région",27,"27"
"368","offreemploi",27,"27"
"369","up-starter",27,"27"
"370","wunderman thompson",27,"27"
"371","abylsen luxembourg",26,"26"
"372","alten",26,"26"
"373","alter domus luxembourg s.à r.l.",26,"26"
"374","camo emploi",26,"26"
"375","cebi international s.a.",26,"26"
"376","european depositary bank",26,"26"
"377","fonds du logement",26,"26"
"378","hôpitaux robert schuman",26,"26"
"379","inautix technologies",26,"26"
"381","mitsubishi ufj investor services & banking (luxembourg) s.a.",26,"26"
"382","morgan philips executive search luxembourg",26,"26"
"384","rh expert",26,"26"
"385","srg global",26,"26"
"386","turbolux",26,"26"
"387","u.s. dept of defense",26,"26"
"388","amundi",25,"25"
"389","austin bright srl",25,"25"
"390","chl",25,"25"
"391","cmi group",25,"25"
"392","croix-rouge luxembourgeoise",25,"25"
"393","devoteam",25,"25"
"394","intech",25,"25"
"395","it human resources",25,"25"
"396","its4u",25,"25"
"397","john zink international luxembourg",25,"25"
"398","lri invest s.a.",25,"25"
"399","luxembourg institute of science and technology (list)",25,"25"
"400","merbag s.a.",25,"25"
"401","relais&amp;chateaux",25,"25"
"402","rsm luxembourg",25,"25"
"404","camo",24,"24"
"405","credit suisse (luxembourg) s.a.",24,"24"
"407","fyte",24,"24"
"408","l.e.a.se.",24,"24"
"409","lowe's companies",24,"24"
